model	sample_size	codon	codon_num	N_diffs	S_diffs	N_sites	S_sites	num_defined_seqs	sw_ratio	sw_start	sw_center	sw_end	sw_num_replicates	sw_N_diffs	sw_S_diffs	sw_N_sites	sw_S_sites	sw_dN	sw_dS	sw_dNdS	sw_dN_m_dS	sw_boot_dN_SE	sw_boot_dS_SE	sw_boot_dN_over_dS_SE	sw_boot_dN_over_dS_P	sw_boot_dN_m_dS_SE	sw_boot_dN_m_dS_P	sw_boot_dN_gt_dS_count	sw_boot_dN_eq_dS_count	sw_boot_dN_lt_dS_count	sw_ASL_dN_gt_dS_P	sw_ASL_dN_lt_dS_P	sw_ASL_dNdS_P
Emp/BloomDFE	100	11	11	0	0	2	1	100	piNpiS	11	25.5	40	1000	0.006727272727272729	0.009066666666666666	60	30	1.12121212121212e-4	3.02222222222222e-4	0.370989304812834	-1.9010101010101e-4	6.27821763546338e-5	1.47855505498631e-4	NA	NA	1.70702139609522e-4	0.265432956686777	128	0	872	0.872	0.128	0.256
Emp/BloomDFE	100	12	12	0	0	2	1	100	piNpiS	12	26.5	41	1000	0.006727272727272729	0.009066666666666666	60	30	1.12121212121212e-4	3.02222222222222e-4	0.370989304812834	-1.9010101010101e-4	6.63783847549e-5	1.48173172821036e-4	NA	NA	1.70098600272199e-4	0.263740846911412	123	0	877	0.877	0.123	0.246
Emp/BloomDFE	100	13	13	5.878787878787873e-4	0	2	1	100	piNpiS	13	27.5	42	1000	0.006727272727272729	0.011044444444444445	60	30	1.12121212121212e-4	3.68148148148148e-4	0.304554600329248	-2.56026936026936e-4	6.4728355513817e-5	1.54098830722039e-4	0.361511264631213	0.399536989576049	1.77293710745937e-4	0.148715467102429	61	0	939	0.939	0.061	0.122
Emp/BloomDFE	100	14	14	0	0	2	1	100	piNpiS	14	28.5	43	1000	0.006139393939393942	0.011044444444444445	60	30	1.02323232323232e-4	3.68148148148148e-4	0.277940369489665	-2.65824915824916e-4	6.49688348572726e-5	1.54422278419842e-4	NA	NA	1.70139449300837e-4	0.118195115186085	49	0	951	0.951	0.049	0.098
Emp/BloomDFE	100	15	15	0	0	2	1	100	piNpiS	15	29.5	44	1000	0.011117171717171713	0.011044444444444445	60	30	1.85286195286195e-4	3.68148148148148e-4	0.503292482165721	-1.82861952861953e-4	1.00443434363279e-4	1.55102310270858e-4	0.630198397610106	0.424507622972268	1.95090183782174e-4	0.348593920716067	181	0	819	0.819	0.181	0.362
Emp/BloomDFE	100	16	16	0	0	2	1	100	piNpiS	16	30.5	45	1000	0.011117171717171713	0.011044444444444445	60	30	1.85286195286195e-4	3.68148148148148e-4	0.503292482165721	-1.82861952861953e-4	9.99893297521965e-5	1.53862255389248e-4	NA	NA	1.93821946811939e-4	0.345449097937674	174	0	826	0.826	0.174	0.348
Emp/BloomDFE	100	17	17	0	0.0018181818181818167	2	1	100	piNpiS	17	31.5	46	1000	0.011117171717171713	0.011044444444444445	60	30	1.85286195286195e-4	3.68148148148148e-4	0.503292482165721	-1.82861952861953e-4	1.06493695750528e-4	1.57137671411684e-4	0.855508366816312	0.556333369558134	1.95012113675437e-4	0.348400992403929	165	0	835	0.835	0.165	0.33
Emp/BloomDFE	100	18	18	0.001175757575757576	5.878787878787873e-4	2	1	100	piNpiS	18	32.5	47	1000	0.011117171717171713	0.009226262626262628	60	30	1.85286195286195e-4	3.07542087542088e-4	0.602474271950952	-1.22255892255892e-4	1.04097264694416e-4	1.48971174780282e-4	NA	NA	1.84442802857783e-4	0.507433640762146	275	0	725	0.725	0.275	0.55
Emp/BloomDFE	100	19	19	0	0	2	1	100	piNpiS	19	33.5	48	1000	0.009941414141414136	0.008638383838383841	60	30	1.65690235690236e-4	2.87946127946128e-4	0.575420954162768	-1.22255892255892e-4	9.74199234859036e-5	1.46304694297858e-4	NA	NA	1.88989144110827e-4	0.517700724431482	274	0	726	0.726	0.274	0.548
Emp/BloomDFE	100	20	20	0	0	2	1	100	piNpiS	20	34.5	49	1000	0.009941414141414136	0.009414141414141416	60	30	1.65690235690236e-4	3.13804713804714e-4	0.528004291845493	-1.48114478114478e-4	9.78482892571369e-5	1.43487175200905e-4	NA	NA	1.81955416408419e-4	0.415636232515838	205	0	795	0.795	0.205	0.41
Emp/BloomDFE	100	21	21	0	0	2	1	100	piNpiS	21	35.5	50	1000	0.009941414141414136	0.009414141414141416	60	30	1.65690235690236e-4	3.13804713804714e-4	0.528004291845493	-1.48114478114478e-4	9.91523133724744e-5	1.46221184290432e-4	0.716336511060128	0.461067778805728	1.85273483159637e-4	0.424037061562501	214	0	786	0.786	0.214	0.428
Emp/BloomDFE	100	22	22	0	0	2	1	100	piNpiS	22	36.5	51	1000	0.010901010101010097	0.009414141414141416	60	30	1.81683501683502e-4	3.13804713804714e-4	0.578969957081545	-1.32121212121212e-4	1.01343351186094e-4	1.40970775255504e-4	NA	NA	1.95057663350366e-4	0.498187478759237	261	0	739	0.739	0.261	0.522
Emp/BloomDFE	100	23	23	0	0	2	1	100	piNpiS	23	37.5	52	1000	0.012040404040404035	0.010002020202020205	60	30	2.00673400673401e-4	3.33400673400673e-4	0.601898606342153	-1.32727272727273e-4	1.00056154558665e-4	1.48389486837353e-4	NA	NA	1.81900931029511e-4	0.465593198949901	230	0	770	0.77	0.23	0.46
Emp/BloomDFE	100	24	24	0	0	2	1	100	piNpiS	24	38.5	53	1000	0.012040404040404035	0.010002020202020205	60	30	2.00673400673401e-4	3.33400673400673e-4	0.601898606342153	-1.32727272727273e-4	1.03354899854325e-4	1.48503126861843e-4	NA	NA	1.91027444593709e-4	0.487176040837131	258	0	742	0.742	0.258	0.516
Emp/BloomDFE	100	25	25	0	0	2	1	100	piNpiS	25	39.5	54	1000	0.012040404040404035	0.010002020202020205	60	30	2.00673400673401e-4	3.33400673400673e-4	0.601898606342153	-1.32727272727273e-4	1.01620878842035e-4	1.46583625978279e-4	0.637805829699863	0.345321976355523	1.90627367308703e-4	0.486262530303705	264	0	736	0.736	0.264	0.528
Emp/BloomDFE	100	26	26	0	0	2	1	100	piNpiS	26	40.5	55	1000	0.012040404040404035	0.010002020202020205	60	30	2.00673400673401e-4	3.33400673400673e-4	0.601898606342153	-1.32727272727273e-4	9.75263777793851e-5	1.48827396520378e-4	0.759004707042062	0.427771778877724	1.95932178685741e-4	0.498143085572417	255	0	745	0.745	0.255	0.51
Emp/BloomDFE	100	27	27	0	0	2	1	100	piNpiS	27	41.5	56	1000	0.013404040404040399	0.010002020202020205	60	30	2.23400673400673e-4	3.33400673400673e-4	0.670066653201373	-1.1e-4	1.00308479200266e-4	1.46389316136176e-4	0.858174377881625	0.434917324405779	1.91810132025178e-4	0.566317176785744	304	0	696	0.696	0.304	0.608
Emp/BloomDFE	100	28	28	0	0.0013151515151515155	2	1	100	piNpiS	28	42.5	57	1000	0.013404040404040399	0.010002020202020205	60	30	2.23400673400673e-4	3.33400673400673e-4	0.670066653201373	-1.1e-4	1.04984914817937e-4	1.48659503932324e-4	1.06616943638517	0.529689245994382	1.89842168480951e-4	0.562299946571807	316	0	684	0.684	0.316	0.632
Emp/BloomDFE	100	29	29	0	0	2	1	100	piNpiS	29	43.5	58	1000	0.013404040404040399	0.008686868686868689	60	30	2.23400673400673e-4	2.8956228956229e-4	0.771511627906976	-6.61616161616163e-5	1.04689740420057e-4	1.46942306351451e-4	1.45594289557157	0.596177700339523	1.87933810414448e-4	0.724802687682898	361	0	639	0.639	0.361	0.722
Emp/BloomDFE	100	30	30	0	0	2	1	100	piNpiS	30	44.5	59	1000	0.013404040404040399	0.008686868686868689	60	30	2.23400673400673e-4	2.8956228956229e-4	0.771511627906976	-6.61616161616163e-5	9.90686410856562e-5	1.44125478792456e-4	NA	NA	1.85210520129739e-4	0.720924228071496	362	0	638	0.638	0.362	0.724
Emp/BloomDFE	100	31	31	0	0	2	1	100	piNpiS	31	45.5	60	1000	0.017799999999999996	0.008686868686868689	60	30	2.96666666666667e-4	2.8956228956229e-4	1.02453488372093	7.10437710437699e-6	1.17155048042797e-4	1.48052133190863e-4	NA	NA	2.0098714908499e-4	0.971802711517384	538	0	462	0.462	0.538	0.924
Emp/BloomDFE	100	32	32	5.878787878787874e-4	0	2	1	100	piNpiS	32	46.5	61	1000	0.017799999999999996	0.008686868686868689	60	30	2.96666666666667e-4	2.8956228956229e-4	1.02453488372093	7.10437710437699e-6	1.20542272672162e-4	1.5030598293825e-4	1.91058069555952	0.591790850369125	1.99052120427058e-4	0.971528715397941	512	0	488	0.488	0.512	0.976
Emp/BloomDFE	100	33	33	5.87878787878788e-4	0	2	1	100	piNpiS	33	47.5	62	1000	0.022262626262626272	0.008686868686868689	60	30	3.71043771043771e-4	2.8956228956229e-4	1.28139534883721	8.14814814814816e-5	1.46991245838527e-4	1.45613409027716e-4	NA	NA	2.20362785626556e-4	0.711560855325406	671	0	329	0.329	0.671	0.658
Emp/BloomDFE	100	34	34	0	0	2	1	100	piNpiS	34	48.5	63	1000	0.021674747474747482	0.008686868686868689	60	30	3.61245791245791e-4	2.8956228956229e-4	1.24755813953488	7.16835016835018e-5	1.44930180782725e-4	1.46396406247399e-4	NA	NA	2.19322184114331e-4	0.74378807945266	658	0	342	0.342	0.658	0.684
Emp/BloomDFE	100	35	35	0	0	2	1	100	piNpiS	35	49.5	64	1000	0.02632929292929293	0.010002020202020203	60	30	4.38821548821549e-4	3.33400673400673e-4	1.31619874772773	1.05420875420875e-4	1.526166367316e-4	1.47125673258538e-4	1.34755038154233	0.328700684181558	0.00021708325167843801	0.627233651601843	679	0	321	0.321	0.679	0.642
Emp/BloomDFE	100	36	36	0	0	2	1	100	piNpiS	36	50.5	65	1000	0.02632929292929293	0.010002020202020203	60	30	4.38821548821549e-4	3.33400673400673e-4	1.31619874772773	1.05420875420875e-4	1.60599615735005e-4	1.48300131863692e-4	1.56624536451234	0.400710580126819	2.25660893411146e-4	0.640381819301966	673	0	327	0.327	0.673	0.654
Emp/BloomDFE	100	37	37	0	7.757575757575757e-4	2	1	100	piNpiS	37	51.5	66	1000	0.027105050505050507	0.010002020202020203	60	30	4.51750841750842e-4	3.33400673400673e-4	1.3549787921632	1.18350168350168e-4	1.54368686280447e-4	1.53225903679389e-4	1.425329259441	0.341785807398493	2.26456705065108e-4	0.601240671058433	685	0	315	0.315	0.685	0.63
Emp/BloomDFE	100	38	38	0	0.003981818181818182	2	1	100	piNpiS	38	52.5	67	1000	0.027105050505050507	0.009226262626262628	60	30	4.51750841750842e-4	3.07542087542088e-4	1.46890737902343	1.44208754208754e-4	1.5406868634971e-4	1.45027686679026e-4	NA	NA	2.22106834558753e-4	0.516159654906779	766	0	234	0.234	0.766	0.468
Emp/BloomDFE	100	39	39	0	5.87878787878788e-4	2	1	100	piNpiS	39	53.5	68	1000	0.027105050505050507	0.005832323232323233	60	30	4.51750841750842e-4	1.94410774410774e-4	2.32369241427087	2.57340067340067e-4	1.61056548195848e-4	8.27912046168207e-5	NA	NA	1.6701995024953e-4	0.123371696623365	938	0	62	0.062	0.938	0.124
Emp/BloomDFE	100	40	40	0.0037878787878787906	0	2	1	100	piNpiS	40	54.5	69	1000	0.027105050505050507	0.005244444444444446	60	30	4.51750841750842e-4	1.74814814814815e-4	2.58416795069337	2.76936026936027e-4	1.50385522395504e-4	7.93543254619648e-5	3.55061043707286	0.466730218012745	1.69497745116315e-4	0.102287703823396	955	0	45	0.045	0.955	0.09
Emp/BloomDFE	100	41	41	0	0	2	1	100	piNpiS	41	55.5	70	1000	0.023317171717171715	0.005244444444444446	60	30	3.88619528619529e-4	1.74814814814815e-4	2.22303543913713	2.13804713804714e-4	1.46803041807211e-4	8.3253135141679e-5	NA	NA	1.62743970105593e-4	0.188930714709998	910	0	90	0.09	0.91	0.18
Emp/BloomDFE	100	42	42	0	0.0019777777777777793	2	1	100	piNpiS	42	56.5	71	1000	0.023317171717171715	0.005244444444444446	60	30	3.88619528619529e-4	1.74814814814815e-4	2.22303543913713	2.13804713804714e-4	1.48586491426811e-4	8.5032172750804e-5	NA	NA	1.63131997906256e-4	0.189984822183103	901	0	99	0.099	0.901	0.198
Emp/BloomDFE	100	43	43	0	0	2	1	100	piNpiS	43	57.5	72	1000	0.023905050505050502	0.0032666666666666664	60	30	3.98417508417508e-4	1.08888888888889e-4	3.65893630179344	2.8952861952862e-4	1.46983211320446e-4	5.33194650156512e-5	NA	NA	1.33437923736253e-4	0.0300248331793576	990	0	10	0.01	0.99	0.02
Emp/BloomDFE	100	44	44	0.00497777777777777	0	2	1	100	piNpiS	44	58.5	73	1000	0.02449292929292929	0.0032666666666666664	60	30	4.08215488215488e-4	1.08888888888889e-4	3.74891774891775	2.99326599326599e-4	1.48455057857277e-4	5.40837977452945e-5	NA	NA	1.36979365308697e-4	0.0288745652742973	996	0	4	0.004	0.996	0.008
Emp/BloomDFE	100	45	45	0	0	2	1	100	piNpiS	45	59.5	74	1000	0.019515151515151517	0.0032666666666666664	60	30	3.25252525252525e-4	1.08888888888889e-4	2.98701298701299	2.16363636363636e-4	1.30548055952047e-4	5.65946141037302e-5	NA	NA	1.12438141582791e-4	0.0543181933164588	984	0	16	0.016	0.984	0.032
Emp/BloomDFE	100	46	46	0	0	2	1	100	piNpiS	46	60.5	75	1000	0.020474747474747475	0.0032666666666666664	60	30	3.41245791245791e-4	1.08888888888889e-4	3.13388991960421	2.32356902356902e-4	1.27567421144258e-4	5.40074719496456e-5	NA	NA	1.22648381441403e-4	0.0581591677055194	988	0	12	0.012	0.988	0.024
Emp/BloomDFE	100	47	47	0	0	2	1	100	piNpiS	47	61.5	76	1000	0.020474747474747475	0.0032666666666666664	60	30	3.41245791245791e-4	1.08888888888889e-4	3.13388991960421	2.32356902356902e-4	1.2734508014595e-4	5.47379258314755e-5	NA	NA	1.17092391089172e-4	0.0472124442581748	987	0	13	0.013	0.987	0.026
Emp/BloomDFE	100	48	48	0	0	2	1	100	piNpiS	48	62.5	77	1000	0.020474747474747475	0.0032666666666666664	60	30	3.41245791245791e-4	1.08888888888889e-4	3.13388991960421	2.32356902356902e-4	1.29339888186093e-4	5.70339997033207e-5	NA	NA	1.17686543774605e-4	0.0483395699254092	985	0	15	0.015	0.985	0.03
Emp/BloomDFE	100	49	49	0	7.757575757575759e-4	2	1	100	piNpiS	49	63.5	78	1000	0.020474747474747475	0.0032666666666666664	60	30	3.41245791245791e-4	1.08888888888889e-4	3.13388991960421	2.32356902356902e-4	1.28092983694256e-4	5.51350010329476e-5	NA	NA	1.18394872088692e-4	0.0496974577774743	992	0	8	0.008	0.992	0.016
Emp/BloomDFE	100	50	50	0	0	2	1	100	piNpiS	50	64.5	79	1000	0.021062626262626262	0.0024909090909090905	60	30	3.51043771043771e-4	8.3030303030303e-5	4.22789943227899	2.68013468013468e-4	1.27946919111312e-4	4.8705360689348e-5	NA	NA	1.09757929216118e-4	0.0146118225135301	999	0	1	0.001	0.999	0.002
Emp/BloomDFE	100	51	51	9.595959595959599e-4	0	2	1	100	piNpiS	51	65.5	80	1000	0.021062626262626262	0.0024909090909090905	60	30	3.51043771043771e-4	8.3030303030303e-5	4.22789943227899	2.68013468013468e-4	1.24967132870161e-4	5.03138054565084e-5	NA	NA	1.16106932364485e-4	0.0209806201909396	1000	0	0	0	1	0.001
Emp/BloomDFE	100	52	52	0.001139393939393939	5.87878787878788e-4	2	1	100	piNpiS	52	66.5	81	1000	0.02087878787878788	0.0024909090909090905	60	30	3.47979797979798e-4	8.3030303030303e-5	4.19099756690998	2.64949494949495e-4	1.28600528039633e-4	5.03677079062056e-5	NA	NA	1.1769857658062e-4	0.0243801571395651	999	0	1	0.001	0.999	0.002
Emp/BloomDFE	100	53	53	0	0	2	1	100	piNpiS	53	67.5	82	1000	0.01973939393939394	0.0019030303030303027	60	30	3.28989898989899e-4	6.34343434343434e-5	5.1863057324840804	2.65555555555556e-4	1.26878694091555e-4	4.64012291252144e-5	NA	NA	1.14416560561968e-4	0.0202893352957179	999	0	1	0.001	0.999	0.002
Emp/BloomDFE	100	54	54	0	0	2	1	100	piNpiS	54	68.5	83	1000	0.01973939393939394	0.0019030303030303027	60	30	3.28989898989899e-4	6.34343434343434e-5	5.1863057324840804	2.65555555555556e-4	1.25625387646519e-4	4.63375754250394e-5	NA	NA	1.18799625365687e-4	0.0253961397870985	999	0	1	0.001	0.999	0.002
Emp/BloomDFE	100	55	55	0	0	2	1	100	piNpiS	55	69.5	84	1000	0.01973939393939394	0.0019030303030303027	60	30	3.28989898989899e-4	6.34343434343434e-5	5.1863057324840804	2.65555555555556e-4	1.25895313680281e-4	4.5827662214068e-5	NA	NA	1.14587741115144e-4	0.0204772392917589	998	0	2	0.002	0.998	0.004
Emp/BloomDFE	100	56	56	0.0013636363636363642	0	2	1	100	piNpiS	56	70.5	85	1000	0.020327272727272725	0.0019030303030303027	60	30	3.38787878787879e-4	6.34343434343434e-5	5.34076433121019	2.75353535353535e-4	1.28830546583824e-4	4.57166108923284e-5	NA	NA	1.18345326863522e-4	0.0199814793857699	999	0	1	0.001	0.999	0.002
Emp/BloomDFE	100	57	57	0	0	2	1	100	piNpiS	57	71.5	86	1000	0.018963636363636367	0.0019030303030303027	60	30	3.16060606060606e-4	6.34343434343434e-5	4.98248407643312	2.52626262626263e-4	1.20596960478636e-4	4.6028989011104e-5	NA	NA	1.12721136804946e-4	0.0250156211094686	999	0	1	0.001	0.999	0.002
Emp/BloomDFE	100	58	58	0	0	2	1	100	piNpiS	58	72.5	87	1000	0.018963636363636367	0.0019030303030303027	60	30	3.16060606060606e-4	6.34343434343434e-5	4.98248407643312	2.52626262626263e-4	1.24689958322907e-4	4.57176964263954e-5	NA	NA	1.13196110567842e-4	0.0256309982147364	998	0	2	0.002	0.998	0.004
Emp/BloomDFE	100	59	59	0	0	2	1	100	piNpiS	59	73.5	88	1000	0.018963636363636367	0.0019030303030303027	60	30	3.16060606060606e-4	6.34343434343434e-5	4.98248407643312	2.52626262626263e-4	1.31518346648971e-4	4.53127466894965e-5	NA	NA	1.16754523777352e-4	0.0304844215096878	999	0	1	0.001	0.999	0.002
Emp/BloomDFE	100	60	60	0.004395959595959599	0	2	1	100	piNpiS	60	74.5	89	1000	0.018963636363636367	0.0019030303030303027	60	30	3.16060606060606e-4	6.34343434343434e-5	4.98248407643312	2.52626262626263e-4	1.27494017935905e-4	4.57399762190416e-5	NA	NA	1.17137746415454e-4	0.031032185490277	999	0	1	0.001	0.999	0.002
Emp/BloomDFE	100	61	61	0	0	2	1	100	piNpiS	61	75.5	90	1000	0.01456767676767677	0.0019030303030303027	60	30	2.42794612794613e-4	6.34343434343434e-5	3.82749469214437	1.79360269360269e-4	1.09685202635759e-4	4.76198362745095e-5	NA	NA	9.17309584536034e-5	0.0505493091605144	996	0	4	0.004	0.996	0.008
Emp/BloomDFE	100	62	62	0.005050505050505058	0	2	1	100	piNpiS	62	76.5	91	1000	0.01456767676767677	0.0019030303030303027	60	30	2.42794612794613e-4	6.34343434343434e-5	3.82749469214437	1.79360269360269e-4	1.10719113414086e-4	4.50735476188981e-5	NA	NA	9.4027197433652e-5	0.056451206575042	993	0	7	0.007	0.993	0.014
Emp/BloomDFE	100	63	63	0	0	2	1	100	piNpiS	63	77.5	92	1000	0.010105050505050497	0.003218181818181817	60	30	1.68417508417508e-4	1.07272727272727e-4	1.56999372253609	6.1144781144781e-5	7.95677061645937e-5	6.14292089197674e-5	NA	NA	5.87791146877716e-5	0.298225291631827	843	0	157	0.157	0.843	0.314
Emp/BloomDFE	100	64	64	0.004654545454545449	0.0013151515151515148	2	1	100	piNpiS	64	78.5	93	1000	0.010105050505050497	0.004357575757575756	60	30	1.68417508417508e-4	1.45252525252525e-4	1.15948076031525	2.31649831649831e-5	8.01590836902753e-5	6.85406746983277e-5	NA	NA	7.22694912226448e-5	0.748561944783686	654	0	346	0.346	0.654	0.692
Emp/BloomDFE	100	65	65	0	0	2	1	100	piNpiS	65	79.5	94	1000	0.0054505050505050485	0.003042424242424241	60	30	9.08417508417508e-5	1.01414141414141e-4	0.895750332005312	-1.05723905723906e-5	2.84561124335085e-5	5.84655782564367e-5	NA	NA	6.25391358211703e-5	0.865755430677963	447	0	553	0.553	0.447	0.894
Emp/BloomDFE	100	66	66	7.75757575757575e-4	0	2	1	100	piNpiS	66	80.5	95	1000	0.0054505050505050485	0.003042424242424241	60	30	9.08417508417508e-5	1.01414141414141e-4	0.895750332005312	-1.05723905723906e-5	2.79065134624296e-5	5.75563049480137e-5	NA	NA	6.27071989932015e-5	0.866111822202733	444	0	556	0.556	0.444	0.888
Emp/BloomDFE	100	67	67	0	0	2	1	100	piNpiS	67	81.5	96	1000	0.004674747474747473	0.003042424242424241	60	30	7.79124579124579e-5	1.01414141414141e-4	0.768260292164675	-2.35016835016835e-5	2.67747254463701e-5	5.60351627645085e-5	NA	NA	6.3813208697519e-5	0.71265797943243	364	0	636	0.636	0.364	0.728
Emp/BloomDFE	100	68	68	0	5.878787878787877e-4	2	1	100	piNpiS	68	82.5	97	1000	0.004674747474747473	0.003042424242424241	60	30	7.79124579124579e-5	1.01414141414141e-4	0.768260292164675	-2.35016835016835e-5	2.6314866214991e-5	5.67054967078416e-5	NA	NA	6.17251790420527e-5	0.703390908764577	350	0	650	0.65	0.35	0.7
Emp/BloomDFE	100	69	69	0	0	2	1	100	piNpiS	69	83.5	98	1000	0.004674747474747473	0.002454545454545453	60	30	7.79124579124579e-5	8.18181818181818e-5	0.952263374485597	-3.9057239057239e-6	2.60874619391441e-5	5.50893619189546e-5	NA	NA	5.86156734158698e-5	0.946874067607737	489	0	511	0.511	0.489	0.978
Emp/BloomDFE	100	70	70	0	0	2	1	100	piNpiS	70	84.5	99	1000	0.004674747474747473	0.002454545454545453	60	30	7.79124579124579e-5	8.18181818181818e-5	0.952263374485597	-3.9057239057239e-6	2.71485649494926e-5	5.56034863132329e-5	NA	NA	5.75939062484693e-5	0.945932997609441	495	0	505	0.505	0.495	0.99
Emp/BloomDFE	100	71	71	0	0	2	1	100	piNpiS	71	85.5	100	1000	0.004674747474747473	0.002454545454545453	60	30	7.79124579124579e-5	8.18181818181818e-5	0.952263374485597	-3.9057239057239e-6	2.64466142109484e-5	5.46439831411793e-5	NA	NA	5.98380417437506e-5	0.947957764935507	491	0	509	0.509	0.491	0.982
Emp/BloomDFE	100	72	72	5.878787878787877e-4	0	2	1	100	piNpiS	72	86.5	101	1000	0.004674747474747473	0.002454545454545453	60	30	7.79124579124579e-5	8.18181818181818e-5	0.952263374485597	-3.9057239057239e-6	2.74477454591673e-5	5.51013484718402e-5	NA	NA	5.85654663965146e-5	0.946828591243983	492	0	508	0.508	0.492	0.984
Emp/BloomDFE	100	73	73	5.878787878787873e-4	0	2	1	100	piNpiS	73	87.5	102	1000	0.004086868686868686	0.002454545454545453	60	30	6.81144781144781e-5	8.18181818181818e-5	0.832510288065844	-1.37037037037037e-5	2.66937707773701e-5	5.66083073651943e-5	NA	NA	5.7060197586244e-5	0.810204501020625	435	1	564	0.564	0.435	0.87
Emp/BloomDFE	100	74	74	0	0	2	1	100	piNpiS	74	88.5	103	1000	0.0034989898989898982	0.002454545454545453	60	30	5.83164983164983e-5	8.18181818181818e-5	0.712757201646091	-2.35016835016835e-5	2.46125350978123e-5	5.38927437561318e-5	NA	NA	5.66852939650069e-5	0.678435256786529	388	1	611	0.611	0.388	0.776
