parameters	replicate	random_seed
DFE_beneficial/DFE1	18	1964351323608
DFE_beneficial/DFE1	19	1965671461132
DFE_beneficial/DFE1	2	1940678963458
DFE_beneficial/DFE1	20	1967351623606
DFE_beneficial/DFE1	21	1968981776047
DFE_beneficial/DFE1	22	1970461932406
DFE_beneficial/DFE1	23	1972022090896
DFE_beneficial/DFE1	24	1973472243056
DFE_beneficial/DFE1	25	1975002388915
DFE_beneficial/DFE1	26	1976462536084
DFE_beneficial/DFE1	27	1978102706980
DFE_beneficial/DFE1	28	1980082867910
DFE_beneficial/DFE1	29	1981282989549
DFE_beneficial/DFE1	3	1942129109836
DFE_beneficial/DFE1	30	1982433104102
DFE_beneficial/DFE1	31	1983613228653
DFE_beneficial/DFE1	32	1985253387120
DFE_beneficial/DFE1	33	1986783541968
DFE_beneficial/DFE1	34	1988313698644
DFE_beneficial/DFE1	35	1989763851896
DFE_beneficial/DFE1	36	1991173996314
DFE_beneficial/DFE1	37	1992584142834
DFE_beneficial/DFE1	38	1994274305042
DFE_beneficial/DFE1	39	1995844458535
DFE_beneficial/DFE1	4	1943709268574
DFE_beneficial/DFE1	40	1997304612494
DFE_beneficial/DFE1	41	1998754754919
DFE_beneficial/DFE1	42	2000064885911
DFE_beneficial/DFE1	43	2001335018746
DFE_beneficial/DFE1	44	2002635150572
DFE_beneficial/DFE1	45	2004015286883
DFE_beneficial/DFE1	46	2005385432487
DFE_beneficial/DFE1	47	2006765570157
DFE_beneficial/DFE1	48	2008015706360
DFE_beneficial/DFE1	49	2009315841073
DFE_beneficial/DFE1	5	1945149417502
DFE_beneficial/DFE1	50	2010745980682
DFE_beneficial/DFE1	51	2012056122902
DFE_beneficial/DFE1	52	2013496271795
DFE_beneficial/DFE1	53	2014796404879
DFE_beneficial/DFE1	54	2016066534086
DFE_beneficial/DFE1	55	2017576688961
DFE_beneficial/DFE1	56	2019026840181
DFE_beneficial/DFE1	57	2020196957764
DFE_beneficial/DFE1	58	2021557097556
DFE_beneficial/DFE1	59	2022837234855
DFE_beneficial/DFE1	6	1946759571149
DFE_beneficial/DFE1	60	2024167372769
DFE_beneficial/DFE1	61	2025387506939
DFE_beneficial/DFE1	62	2026727631204
DFE_beneficial/DFE1	63	2028297769180
DFE_beneficial/DFE1	64	2029647900825
DFE_beneficial/DFE1	65	2030788017916
DFE_beneficial/DFE1	66	2032028147091
DFE_beneficial/DFE1	67	2033438286891
DFE_beneficial/DFE1	68	2034758430157
DFE_beneficial/DFE1	69	2036238581611
DFE_beneficial/DFE1	7	1948249721924
DFE_beneficial/DFE1	70	2037578716387
DFE_beneficial/DFE1	71	2038728843278
DFE_beneficial/DFE1	72	2040018970426
DFE_beneficial/DFE1	73	2041149094141
DFE_beneficial/DFE1	74	2042479221721
DFE_beneficial/DFE1	75	2043719355608
DFE_beneficial/DFE1	76	2045049488529
DFE_beneficial/DFE1	77	2046309620366
DFE_beneficial/DFE1	78	2047519743204
DFE_beneficial/DFE1	79	2048689865634
DFE_beneficial/DFE1	8	1949629867331
DFE_beneficial/DFE1	80	2049889994995
DFE_beneficial/DFE1	81	2051110118263
DFE_beneficial/DFE1	82	2052180224022
DFE_beneficial/DFE1	83	2053430352981
DFE_beneficial/DFE1	84	2054590482092
DFE_beneficial/DFE1	85	2055820608343
DFE_beneficial/DFE1	86	2057050729003
DFE_beneficial/DFE1	87	2058400872320
DFE_beneficial/DFE1	88	2059661001700
DFE_beneficial/DFE1	89	2060891134428
DFE_beneficial/DFE1	9	1951070015190
DFE_beneficial/DFE1	90	2062231269422
DFE_beneficial/DFE1	91	2063481405241
DFE_beneficial/DFE1	92	2064711530880
DFE_beneficial/DFE1	93	2066201679624
DFE_beneficial/DFE1	94	2067931809083
DFE_beneficial/DFE1	95	2069181932331
DFE_beneficial/DFE1	96	2070212043185
DFE_beneficial/DFE1	97	2071272159952
DFE_beneficial/DFE1	98	2072442277614
DFE_beneficial/DFE1	99	2073582394886
DFE_beneficial/DFE2	1	1939998889097
DFE_beneficial/DFE2	10	1952140126649
DFE_beneficial/DFE2	100	2067051710594
DFE_beneficial/DFE2	11	1953600268000
DFE_beneficial/DFE2	12	1954790403299
DFE_beneficial/DFE2	13	1956030530641
DFE_beneficial/DFE2	14	1957110638345
DFE_beneficial/DFE2	15	1958820792520
DFE_beneficial/DFE2	16	1960290932633
DFE_beneficial/DFE2	17	1961461059519
DFE_beneficial/DFE2	18	1963081198783
DFE_beneficial/DFE2	19	1964441337650
DFE_beneficial/DFE2	2	1941129010929
DFE_beneficial/DFE2	20	1965661460506
DFE_beneficial/DFE2	21	1967171598189
DFE_beneficial/DFE2	22	1968581737394
DFE_beneficial/DFE2	23	1969871874237
DFE_beneficial/DFE2	24	1971232009634
DFE_beneficial/DFE2	25	1972512145575
DFE_beneficial/DFE2	26	1974012289357
DFE_beneficial/DFE2	27	1975372428782
DFE_beneficial/DFE2	28	1976782569698
DFE_beneficial/DFE2	29	1978232711312
DFE_beneficial/DFE2	3	1942449146533
DFE_beneficial/DFE2	30	1979882847307
DFE_beneficial/DFE2	31	1981042964465
DFE_beneficial/DFE2	32	1982143073476
DFE_beneficial/DFE2	33	1983123182450
DFE_beneficial/DFE2	34	1984463323637
DFE_beneficial/DFE2	35	1986123467191
DFE_beneficial/DFE2	36	1987373604837
DFE_beneficial/DFE2	37	1988793751193
DFE_beneficial/DFE2	38	1990193894576
DFE_beneficial/DFE2	39	1991544032635
DFE_beneficial/DFE2	4	1943859285766
DFE_beneficial/DFE2	40	1992934179544
DFE_beneficial/DFE2	41	1994494323225
DFE_beneficial/DFE2	42	1995944468796
DFE_beneficial/DFE2	43	1997264606427
DFE_beneficial/DFE2	44	1998664743914
DFE_beneficial/DFE2	45	1999854867208
DFE_beneficial/DFE2	46	2001134996842
DFE_beneficial/DFE2	47	2002285123687
DFE_beneficial/DFE2	48	2003625250234
DFE_beneficial/DFE2	49	2004945377415
DFE_beneficial/DFE2	5	1945239422203
DFE_beneficial/DFE2	50	2006135511760
DFE_beneficial/DFE2	51	2007455641954
DFE_beneficial/DFE2	52	2008665774861
DFE_beneficial/DFE2	53	2009925902080
DFE_beneficial/DFE2	54	2011216035299
DFE_beneficial/DFE2	55	2012546174740
DFE_beneficial/DFE2	56	2013836301542
DFE_beneficial/DFE2	57	2015006427008
DFE_beneficial/DFE2	58	2016276555581
DFE_beneficial/DFE2	59	2017536685494
DFE_beneficial/DFE2	6	1946749570972
DFE_beneficial/DFE2	60	2018826816793
DFE_beneficial/DFE2	61	2019946934521
DFE_beneficial/DFE2	62	2020977042092
DFE_beneficial/DFE2	63	2022267174171
DFE_beneficial/DFE2	64	2023457302978
DFE_beneficial/DFE2	65	2024727435081
DFE_beneficial/DFE2	66	2026147579745
DFE_beneficial/DFE2	67	2027537696188
DFE_beneficial/DFE2	68	2028867825407
DFE_beneficial/DFE2	69	2030187958097
DFE_beneficial/DFE2	7	1948069705627
DFE_beneficial/DFE2	70	2031348075233
DFE_beneficial/DFE2	71	2032508192234
DFE_beneficial/DFE2	72	2033738315597
DFE_beneficial/DFE2	73	2034858438173
DFE_beneficial/DFE2	74	2036108567860
DFE_beneficial/DFE2	75	2037278688359
DFE_beneficial/DFE2	76	2038408805276
DFE_beneficial/DFE2	77	2039618927922
DFE_beneficial/DFE2	78	2040759050519
DFE_beneficial/DFE2	79	2041979170059
DFE_beneficial/DFE2	8	1949339841109
DFE_beneficial/DFE2	80	2043169290580
DFE_beneficial/DFE2	81	2044289413455
DFE_beneficial/DFE2	82	2045459530732
DFE_beneficial/DFE2	83	2046719659671
DFE_beneficial/DFE2	84	2047839778900
DFE_beneficial/DFE2	85	2048879889691
DFE_beneficial/DFE2	86	2050080013546
DFE_beneficial/DFE2	87	2051210127638
DFE_beneficial/DFE2	88	2052290237576
DFE_beneficial/DFE2	89	2053450360810
DFE_beneficial/DFE2	9	1950809988700
DFE_beneficial/DFE2	90	2054710488531
DFE_beneficial/DFE2	91	2055950623434
DFE_beneficial/DFE2	92	2057170740084
DFE_beneficial/DFE2	93	2058370865295
DFE_beneficial/DFE2	94	2059540988263
DFE_beneficial/DFE2	95	2060601104529
DFE_beneficial/DFE2	96	2061751225282
DFE_beneficial/DFE2	97	2062981349244
DFE_beneficial/DFE2	98	2064141469703
DFE_beneficial/DFE2	99	2065251585576
